7.0	62.22
7.1	63.18
7.2	63.65
7.3	63.57
7.4	65.80
7.5	64.97
7.6	69.71
7.7	67.93
7.8	67.88
7.9	64.81
8.0	70.29
8.1	71.88
8.2	71.67
8.3	77.89
8.4	73.97
8.5	80.76
8.6	74.58
8.7	75.30
8.8	77.13
8.9	77.38
9.0	79.78



5.0	48.12
5.1	49.45
5.2	49.43
5.3	51.45
5.4	51.47
5.5	52.00
5.6	47.78
5.7	54.43
5.8	55.22
5.9	62.01
6.0	57.16
6.1	57.43
6.2	58.67
6.3	55.46
6.4	60.99
6.5	54.70
6.6	62.37
6.7	63.56
6.8	65.32
6.9	65.53





6.0	52.69
6.1	53.48
6.2	52.50
6.3	54.28
6.4	55.55
6.5	55.49
6.6	59.09
6.7	57.39
6.8	58.18
6.9	65.81
7.0	59.44
7.1	62.04
7.2	62.28
7.3	57.10
7.4	64.23
7.5	71.43
7.6	65.43
7.7	66.17
7.8	67.29
7.9	67.55




4.0	37.04
4.1	36.79
4.2	37.80
4.3	38.63
4.4	40.75
4.5	41.94
4.6	38.27
4.7	43.48
4.8	44.84
4.9	52.41
5.0	45.33
5.1	47.14
5.2	47.82
5.3	49.43
5.4	49.66
5.5	42.53
5.6	50.48
5.7	52.96
5.8	53.14
5.9	54.31
6.0	54.72
